StationID,MasterID,Latitude,Longitude,COMID
202PES060,202PES060,37.25449,-122.38314,17688143
202PES070,202PES070,37.25164,-122.36999,17688143
202PES080,202PES080,37.252,-122.3698,17688323
202PES095,202PES095,37.25649,-122.33777,17688129
202PES100,202PES100,37.26098,-122.32909,17688105
202PES120,202PES120,37.26695,-122.30935,17688091
202PES140,202PES140,37.27575,-122.28619,17688065
202PES150,202PES150,37.27605,-122.26669,17688057
202PES160,202PES160,37.26927,-122.26368,17688085
202PES162,202PES162,37.26914,-122.26395,17688085
202PES168,202PES168,37.26166,-122.24082,17688093
202PES170,202PES170,37.26443,-122.23911,17688093
202PES180,202PES180,37.25137,-122.21792,17688145
202PES190,202PES190,37.25106,-122.21783,17688145
202PES200,202PES200,37.2419,-122.20041,17688157
202PES210,202PES210,37.22935,-122.19052,17688307
202PES230,202PES230,37.21446,-122.17565,17688189
202PES240,202PES240,37.2141,-122.16521,17688199
202PS0134,202PS0134,37.46526,-122.42819,17688275
202PS0246,202PS0246,37.46248,-122.3746,17687845
202R00024,202R00024,37.3250605,-122.2484,17688291
202R00072,202R00072,37.5148391,-122.38632,17687547
202R00087,202R00087,37.6447,-122.4801,17687379
202R00248,202R00248,37.3203,-122.3398,17687979
202R00280,202R00280,37.2935,-122.2189,17688015
202R00284,202R00284,37.5052,-122.4872,17687425
202R00328,202R00328,37.5072,-122.3866,17687547
202R00908,202R00908,37.6113,-122.4934,17687383
202R00972,202R00972,37.5138,-122.4509,17687549
202R01308,202R01308,37.4683,-122.4362,17688275
202SGR010,202SGR010,37.32583,-122.38583,17687955
202SGR030,202SGR030,37.38509,-122.32473,17687907
202SGR040,202SGR040,37.3112,-122.31595,17687989
202SGR060,202SGR060,37.32027,-122.30026,17687987
202SGR075,202SGR075,37.31512,-122.29048,17687987
202SGR080,202SGR080,37.31023,-122.27799,17687985
202SGR090,202SGR090,37.30991,-122.27739,17688009
202SGR110,202SGR110,37.34591,-122.27425,17687931
202SGR120,202SGR120,37.38799,-122.27345,17687887
202SGR130,202SGR130,37.29775,-122.25393,17688293
202SGR150,202SGR150,37.29606,-122.24639,17688013
202SPE090,202SPE090,37.575,-122.463,17687393
202TUN600,202TUN600,37.39083,-122.36826,17688283
203BAX030,203BAX030,37.91828,-122.32587,-9999
203BAX050,203BAX050,37.93151,-122.32097,-9999
203CER020,203CER020,37.89821,-122.3039,1671591
203COD020,203COD020,37.88188,-122.30692,1671603
203COD080,203COD080,37.88242,-122.28475,1671603
203COD120,203COD120,37.88437,-122.26879,-9999
203LOB020,203LOB020,37.78827,-122.48393,-9999
203PS0070,203PS0070,37.99053,-122.59318,1671421
203R00295,203R00295,37.8818,-122.3069,1671603
203R00983,203R00983,37.8751,-122.2366,1671611
203STW010,203STW010,37.8679,-122.2869,-9999
203STW030,203STW030,37.87051,-122.26495,-9999
203TEM060,203TEM060,37.84671,-122.24824,1671639
203TEM090,203TEM090,37.84359,-122.22686,1671803
204AHOACR,204AHOACR,37.46138,-121.76833,2809859
204ALA525,204ALA525,37.49664,-121.76043,2809691
204ALP010,204ALP010,37.69708,-121.84964,2806337
204ALP040,204ALP040,37.69856,-121.81728,2806327
204ALP070,204ALP070,37.69961,-121.79886,2806323
204ALP080,204ALP080,37.69942,-121.77442,2806319
204ALP100,204ALP100,37.70739,-121.75325,2808527
204ALP110,204ALP110,37.70528,-121.75417,2808529
204ALP140,204ALP140,37.72175,-121.69658,2806261
204AMCADD,204AMCADD,37.4974,-121.7736,2809681
204AMO070,204AMO070,37.67672,-121.81452,2806391
204AMO100,204AMO100,37.66747,-121.75031,2808535
204AMO160,204AMO160,37.62683,-121.70485,2806597
204AMO180,204AMO180,37.60316,-121.66948,2808559
204AMO200,204AMO200,37.48213,-121.5324,2809733
204ARH090,204ARH090,37.45116,-121.75463,2810117
204AVJ020,204AVJ020,37.76253,-122.17539,2803839
204AVJ090,204AVJ090,37.75769,-122.1469,2803829
204AVJ110,204AVJ110,37.77736,-122.14786,2803831
204AVJ130,204AVJ130,37.75314,-122.14926,2803841
204CE0116,204CE0116,37.40916,-121.70861,2810027
204CE0282,204CE0282,37.84444,-122.12611,2803715
204CE0314,204CE0314,37.67861,-122.08555,2804929
204CE0516,204CE0516,37.56611,-121.9975,2814093
204CE0602,204CE0602,37.82388,-122.20361,2803723
204CE0730,204CE0730,37.68,-122.08027,2803983
204CLCACR,204CLCACR,37.7177,-122.0544,2804901
204FCA016,204FCA016,37.32865,-121.6745,2810225
204IND200,204IND200,37.56223,-121.7982,2808579
204INDSAR,204INDSAR,37.56394,-121.7993,2808579
204ISL050,204ISL050,37.74169,-122.44293,-9999
204LACSAC,204LACSAC,37.56583,-121.78083,2808575
204LIO080,204LIO080,37.78223,-122.18021,-9999
204LIO130,204LIO130,37.79185,-122.17948,-9999
204LME100,204LME100,37.81726,-122.26107,2803733
204PRL020,204PRL020,37.7781,-122.21812,2803789
204PRL080,204PRL080,37.80263,-122.19499,2803789
204PS0038,204PS0038,37.72699,-122.1726,2804921
204PS0094,204PS0094,37.68936,-121.87581,2806357
204PS0102,204PS0102,37.69809,-122.02901,2803945
204PS0118,204PS0118,37.52935,-122.35939,2804621
204PS0294,204PS0294,37.68094,-122.14463,2804929
204R00047,204R00047,37.6883,-122.0726,2803979
204R00063,204R00063,37.7966,-122.1997,2803789
204R00068,204R00068,37.6991,-121.8089,2806325
204R00084,204R00084,37.7009,-121.9255,2806333
204R00100,204R00100,37.6826,-121.8961,2806365
204R00180,204R00180,37.5731,-122.3693,2804511
204R00189,204R00189,37.3209,-121.6635,2811071
204R00191,204R00191,37.6658,-121.8784,2806459
204R00200,204R00200,37.5233,-122.3409,2804687
204R00232,204R00232,37.4635,-122.2515,2809129
204R00244,204R00244,37.4715,-122.2453,2809127
204R00292,204R00292,37.6787,-121.9088,2806393
204R00303,204R00303,37.6842,-122.0819,2803981
204R00319,204R00319,37.7994,-122.2182,2803791
204R00327,204R00327,37.6201,-122.1007,2804243
204R00334,204R00334,37.6466,-121.7881,2806531
204R00340,204R00340,37.7022,-121.9207,2806301
204R00356,204R00356,37.6687,-121.9093,2806461
204R00367,204R00367,37.6596,-122.0417,2804011
204R00383,204R00383,37.6591,-122.1368,2804015
204R00391,204R00391,37.5868,-122.0236,2804385
204R00436,204R00436,37.5817,-122.3707,2804427
204R00447,204R00447,37.6583,-121.861,2806527
204R00455,204R00455,37.6468,-122.0393,2804939
204R00473,204R00473,37.6705,-121.7611,2808535
